"name","subname","birthday","sex","fatherName","email","phone_number","birthday_place","school_year","status","class_name"
"Student 2","",,"f","","","","","2022","old","Petite Section"
"Student 3","",,"m","","","","","2022","new","Petite Section"
"ddd","","2022-08-15T23:00:00.000Z","m","","","",,"2022","new","Petite Section"
"fsdds","","2022-08-07T23:00:00.000Z","m","","","",,"2022","new","Petite Section"
"fsdds","","2022-08-07T23:00:00.000Z","m","","","",,"2022","new","Petite Section"
"fsdds","","2022-08-07T23:00:00.000Z","m","","","",,"2022","new","Petite Section"
"fsdds","","2022-08-07T23:00:00.000Z","m","","","",,"2022","new","Petite Section"
"fdds","","2022-08-10T23:00:00.000Z","m","","","",,"2022","new","Petite Section"
"retest","",,"m","","","","","2022","new","Petite Section"
"Student 2","",,"f","hpjj","","54566",,"2022","old","Petite Section"
"Student 3","","2020-02-13T23:00:00.000Z","m","vdfv","","9595",,"2022","new","Petite Section"
"retest","",,"m","","","",,"2022","new","Petite Section"
"sfdf","","2022-09-07T23:00:00.000Z","m","","","","","2022","new","Petite Section"
